Adam_loss,AdaGrad_loss,RMSProp_loss,SGD_momentum_loss
0.664889931678772,1.9931426048278809,0.6027608513832092,1.3690043687820435
0.35824209451675415,1.5111302137374878,0.3302578032016754,0.722176730632782
0.317049115896225,1.2685352563858032,0.30126121640205383,0.5876933336257935
0.2980360984802246,1.1231416463851929,0.2880314886569977,0.5248322486877441
0.2872324585914612,1.024672031402588,0.27995020151138306,0.4869123697280884
0.27930518984794617,0.9526621103286743,0.27464911341667175,0.46093180775642395
0.27334845066070557,0.8972095847129822,0.2702650725841522,0.44171586632728577
0.2690286636352539,0.8528845310211182,0.26753222942352295,0.4268684685230255
0.26534828543663025,0.8164598941802979,0.26472267508506775,0.41481083631515503
0.26169565320014954,0.7858617901802063,0.26273486018180847,0.4048774540424347
0.25942644476890564,0.7596864700317383,0.2608221471309662,0.3964118957519531
0.25749728083610535,0.7370025515556335,0.25901198387145996,0.3891645073890686
0.2555195987224579,0.7170684337615967,0.25841957330703735,0.3828936219215393
0.253508597612381,0.6994071006774902,0.25717175006866455,0.3772554099559784
0.25213783979415894,0.6835952997207642,0.255937784910202,0.37229859828948975
0.2504568099975586,0.6693536639213562,0.25516146421432495,0.3677642345428467
0.24924588203430176,0.6564300656318665,0.2543409764766693,0.36371099948883057
0.24804702401161194,0.6446359753608704,0.25350984930992126,0.3599909543991089
0.2472548633813858,0.6338188052177429,0.2528631091117859,0.35657379031181335
0.24583134055137634,0.6238477230072021,0.25204482674598694,0.3534615635871887
