Adam_loss,Adam_acc,AdaGrad_loss,AdaGrad_acc,RMSProp_loss,RMSProp_acc,SGD_momentum_loss,SGD_momentum_acc
0.664889931678772,0.8363666534423828,1.9931426048278809,0.3715166747570038,0.6027608513832092,0.84743332862854,1.3690043687820435,0.659683346748352
0.35824209451675415,0.9028333425521851,1.5111302137374878,0.6830499768257141,0.3302578032016754,0.9075166583061218,0.722176730632782,0.8421000242233276
0.317049115896225,0.9130833148956299,1.2685352563858032,0.75163334608078,0.30126121640205383,0.9158999919891357,0.5876933336257935,0.8604833483695984
0.2980360984802246,0.9174666404724121,1.1231416463851929,0.7802666425704956,0.2880314886569977,0.9204833507537842,0.5248322486877441,0.8695499897003174
0.2872324585914612,0.9205166697502136,1.024672031402588,0.7974500060081482,0.27995020151138306,0.9217833280563354,0.4869123697280884,0.8751999735832214
0.27930518984794617,0.92208331823349,0.9526621103286743,0.8086333274841309,0.27464911341667175,0.923966646194458,0.46093180775642395,0.8800666928291321
0.27334845066070557,0.9239833354949951,0.8972095847129822,0.8183833360671997,0.2702650725841522,0.9253666400909424,0.44171586632728577,0.8837666511535645
0.2690286636352539,0.9246500134468079,0.8528845310211182,0.8253833055496216,0.26753222942352295,0.9259999990463257,0.4268684685230255,0.8860499858856201
0.26534828543663025,0.9262499809265137,0.8164598941802979,0.8303333520889282,0.26472267508506775,0.9268500208854675,0.41481083631515503,0.8889999985694885
0.26169565320014954,0.9266666769981384,0.7858617901802063,0.8349666595458984,0.26273486018180847,0.9281166791915894,0.4048774540424347,0.89083331823349
0.25942644476890564,0.9276833534240723,0.7596864700317383,0.8385666608810425,0.2608221471309662,0.9284999966621399,0.3964118957519531,0.892633318901062
0.25749728083610535,0.9281666874885559,0.7370025515556335,0.8412500023841858,0.25901198387145996,0.9292166829109192,0.3891645073890686,0.894183337688446
0.2555195987224579,0.9293833374977112,0.7170684337615967,0.8445833325386047,0.25841957330703735,0.9296000003814697,0.3828936219215393,0.8950833082199097
0.253508597612381,0.9302999973297119,0.6994071006774902,0.8470500111579895,0.25717175006866455,0.930400013923645,0.3772554099559784,0.8968666791915894
0.25213783979415894,0.9301666617393494,0.6835952997207642,0.8492500185966492,0.255937784910202,0.9303833246231079,0.37229859828948975,0.8976500034332275
0.2504568099975586,0.9308666586875916,0.6693536639213562,0.8511999845504761,0.25516146421432495,0.9306833148002625,0.3677642345428467,0.8988166451454163
0.24924588203430176,0.9307666420936584,0.6564300656318665,0.8529499769210815,0.2543409764766693,0.9307000041007996,0.36371099948883057,0.8996000289916992
0.24804702401161194,0.9315333366394043,0.6446359753608704,0.8547499775886536,0.25350984930992126,0.9311666488647461,0.3599909543991089,0.9004666805267334
0.2472548633813858,0.9318000078201294,0.6338188052177429,0.8563166856765747,0.2528631091117859,0.9313833117485046,0.35657379031181335,0.9013333320617676
0.24583134055137634,0.9322666525840759,0.6238477230072021,0.857783317565918,0.25204482674598694,0.932200014591217,0.3534615635871887,0.9025333523750305
