Adam_loss,AdaGrad_loss,RMSProp_loss,SGD_momentum_loss
0.32824498414993286,2.2120816707611084,0.3334777355194092,1.772120714187622
0.1281568706035614,1.7376571893692017,0.14222073554992676,0.5489898920059204
0.0930057018995285,1.0128512382507324,0.10338285565376282,0.3805191218852997
0.07090616971254349,0.6798686385154724,0.08068958669900894,0.3278684914112091
0.05686561390757561,0.5512655973434448,0.06768637150526047,0.2960062623023987
0.04943675175309181,0.4838672876358032,0.05502182990312576,0.27236130833625793
0.0406278520822525,0.441735178232193,0.04665311053395271,0.2523386776447296
0.035868264734745026,0.4120570421218872,0.040157709270715714,0.23546551167964935
0.03290024399757385,0.38977062702178955,0.03558424487709999,0.22040830552577972
0.027865292504429817,0.3720753788948059,0.0326271578669548,0.2069474309682846
0.026832861825823784,0.35738980770111084,0.02737913653254509,0.19511257112026215
0.02572115696966648,0.34483376145362854,0.025393087416887283,0.18474137783050537
0.022675327956676483,0.334122896194458,0.023462381213903427,0.17587804794311523
0.02012825571000576,0.32462406158447266,0.021438930183649063,0.1687299907207489
0.01862882822751999,0.31617823243141174,0.02046738937497139,0.1616092324256897
0.016272490844130516,0.30862554907798767,0.019084692001342773,0.1551082581281662
0.01616755500435829,0.30175286531448364,0.017428461462259293,0.14888954162597656
0.017012929543852806,0.29533109068870544,0.016711929813027382,0.14329728484153748
0.01573566161096096,0.28954383730888367,0.016659796237945557,0.13823296129703522
0.012127678841352463,0.28414520621299744,0.014140618033707142,0.13381899893283844
