Adam_loss,AdaGrad_loss,RMSProp_loss,SGD_momentum_loss
0.8675289750099182,6.008305549621582,0.7787604928016663,2.8773040771484375
0.09520787745714188,1.4414666891098022,0.11376716196537018,0.2533235251903534
0.05877144634723663,0.997595489025116,0.07256744801998138,0.1660323292016983
0.04238797724246979,0.7905263304710388,0.054680828005075455,0.1305069625377655
0.04066642001271248,0.6699315309524536,0.0435599647462368,0.10368117690086365
0.03141854330897331,0.5854483246803284,0.03782268241047859,0.08927447348833084
0.034019533544778824,0.524933934211731,0.03384929522871971,0.07790059596300125
0.03137894347310066,0.4777967631816864,0.029662635177373886,0.06890974193811417
0.02874625287950039,0.4406548738479614,0.028483767062425613,0.06408277153968811
0.025204069912433624,0.4100927412509918,0.02636311762034893,0.05837245658040047
0.023831265047192574,0.3840502202510834,0.02623911015689373,0.05430052801966667
0.02532166987657547,0.3626658618450165,0.0243782140314579,0.049579668790102005
0.02448946051299572,0.3447939157485962,0.021413305774331093,0.04624352976679802
0.020304298028349876,0.32883673906326294,0.022745274007320404,0.0407203733921051
0.025186937302350998,0.31364506483078003,0.02139100432395935,0.04089108854532242
0.01997135393321514,0.3008088171482086,0.01979307271540165,0.035383157432079315
0.020880600437521935,0.2896938920021057,0.019505668431520462,0.03409326449036598
0.021220194175839424,0.2796573340892792,0.021829599514603615,0.03164876252412796
0.0181961040943861,0.2702264189720154,0.020295381546020508,0.029498057439923286
0.015765169635415077,0.2619892656803131,0.019912337884306908,0.02747235633432865
